Price,Close,High,Low,Open,Volume
16-03-2021,2733.973389,2761.180778,2689.975543,2689.975543,4894756
17-03-2021,2736.523193,2773.488431,2712.216796,2729.534573,3838390
18-03-2021,2669.317627,2765.972112,2625.847307,2747.951031,3656306
19-03-2021,2681.361084,2724.260092,2641.62684,2663.603768,5776626
22-03-2021,2751.203125,2759.818122,2653.625582,2680.041888,2821646
23-03-2021,2762.587158,2785.794703,2745.225389,2760.301472,3305973
24-03-2021,2743.687012,2771.114168,2734.940025,2734.984022,2207104
25-03-2021,2694.238281,2752.257343,2681.183907,2735.862434,3179786
26-03-2021,2695.953125,2740.96182,2675.075048,2716.918981,3697370
30-03-2021,2776.608398,2802.892712,2690.76641,2710.194095,4694008
31-03-2021,2793.574951,2817.441806,2753.269185,2773.487956,3530069
01-04-2021,2782.278564,2826.232412,2764.697025,2805.222559,4285076
05-04-2021,2847.242432,2868.428273,2769.971649,2787.553189,5317862
06-04-2021,2869.922607,2878.977143,2839.418679,2878.977143,2291562
07-04-2021,2875.811523,2881.217974,2843.637444,2864.911058,2491268
08-04-2021,2916.206055,2931.721677,2871.109363,2874.581675,2578118
09-04-2021,2920.513672,2948.73213,2907.986824,2948.424368,2911129
12-04-2021,2853.966797,2934.44632,2824.6495,2920.512867,3791828
13-04-2021,2728.69873,2825.353194,2701.447346,2825.353194,8654596
15-04-2021,2829.704834,2845.791986,2714.10621,2778.147054,6062760
16-04-2021,2808.782715,2854.362942,2797.75047,2838.539556,3224657
19-04-2021,2779.465576,2803.376427,2755.994264,2785.794887,2679106
20-04-2021,2764.30127,2835.330725,2748.302113,2835.022962,3141893
22-04-2021,2741.665771,2767.334781,2729.754234,2767.334781,1988980
23-04-2021,2733.48999,2741.841222,2717.271062,2729.534144,1615309
26-04-2021,2725.841797,2771.72957,2714.633566,2726.940643,2490260
27-04-2021,2753.268799,2756.8731,2727.775569,2730.4128,1471417
28-04-2021,2746.323975,2769.971055,2735.687059,2769.047982,1639037
29-04-2021,2738.544434,2775.553659,2729.973433,2765.224505,1621395
30-04-2021,2668.570068,2753.313222,2654.812599,2724.259683,3072305
03-05-2021,2669.756104,2685.579485,2640.746571,2659.119189,1545831
04-05-2021,2680.965088,2716.347937,2667.998702,2692.437086,1990777
05-05-2021,2721.358398,2724.61094,2683.294325,2698.766164,1939289
