Price,Close,High,Low,Open,Volume
16-03-2021,198.3149567,200.9249832,196.6288435,197.3679656,21347294
17-03-2021,193.8571472,201.1790512,192.956354,198.1763788,24269624
18-03-2021,189.4686279,195.9359224,186.7662199,195.5201706,20165862
19-03-2021,189.6303253,191.0854638,184.5257875,188.914309,33750804
22-03-2021,191.4550171,192.2865207,189.4917313,189.8843772,13245968
23-03-2021,191.9400635,195.5894626,190.6466102,192.9563583,23150388
24-03-2021,189.8612823,191.9169637,189.0297787,190.0229675,10280694
25-03-2021,184.6181641,190.1846655,183.7404626,189.7227159,25474258
26-03-2021,186.5814362,188.3368531,185.0801,186.997188,18066738
30-03-2021,193.1411285,194.2267129,187.089586,187.089586,26339126
31-03-2021,191.3164368,193.9264494,190.9468827,193.9264494,14890268
01-04-2021,192.3558044,195.3353849,191.4088134,193.4875866,15193886
05-04-2021,196.5364685,197.6682366,192.2634346,192.378922,42432790
06-04-2021,197.3217773,198.1301892,195.1044248,197.6913455,16641040
07-04-2021,202.3339386,202.7958882,195.5894712,196.3285934,27735300
08-04-2021,204.2279053,206.0064139,203.2578084,204.1586157,25833228
09-04-2021,207.9235077,208.5009447,203.2578141,204.5974651,23398770
12-04-2021,199.8394012,207.9235193,198.3611569,207.8773215,30172534
13-04-2021,193.533783,202.1260339,190.6004003,199.5622194,40840640
15-04-2021,198.9617004,200.6940115,191.709086,193.5106866,53517782
16-04-2021,216.7467651,218.8024325,201.4100323,204.0431507,218723272
19-04-2021,218.386673,220.7888165,213.004963,213.8826644,87619710
20-04-2021,217.1625214,220.6040376,216.1000288,219.8880213,35461382
22-04-2021,224.8077698,228.434077,217.8554339,217.8554339,85241858
23-04-2021,219.7494354,225.1311456,219.1258006,223.3757286,27192006
26-04-2021,221.8743744,223.5143038,220.3499464,221.4586226,18629288
27-04-2021,224.0686646,224.969472,222.1977742,222.3825512,14418934
28-04-2021,226.0319519,227.8335668,222.313263,224.4382341,19231068
29-04-2021,226.2860107,227.6487536,224.3689228,227.6025699,15282266
30-04-2021,227.6256714,236.4258059,226.0319396,227.0482344,58231142
03-05-2021,225.131134,229.1269951,223.2371379,225.4083066,17199462
04-05-2021,222.6366119,225.5699806,220.7195098,225.108031,16204858
05-05-2021,226.6324921,229.1270173,223.2602513,223.9531757,23713182
06-05-2021,236.6567688,237.8116428,225.0849372,228.0645177,48827088
07-05-2021,238.0195465,238.6200754,234.4394369,237.4421095,29333162
