Trading_Day,P5_WorstCase,P25_LowerBand,P50_Median,P75_UpperBand,P95_BestCase
1,980613.4789824999,992398.3677021697,1000870.6160869172,1009362.8024572632,1021131.5177077771
2,973543.7207352486,990357.8643450366,1002295.1586566621,1013760.0642501428,1031264.6525688003
3,968749.1825660955,988876.1744227704,1003231.7861769986,1018048.5168111078,1038753.0162795678
4,964921.6973349905,988133.0854756386,1004604.1603371573,1021274.7278103213,1045953.4490397151
5,960560.5374821116,986742.0534100982,1006103.2922990104,1024604.5620431418,1051603.1728945093
6,957397.0683559893,986022.4976219432,1006699.3350889942,1027820.269783102,1058160.850039939
7,954356.6063116764,985741.3382260108,1007374.9994068041,1030644.2661955886,1063040.2274206325
8,951895.3589951005,984989.0878664538,1008838.2382762891,1032865.0566159012,1068470.2723481243
9,948714.7312400419,984224.0087823998,1009387.1297888716,1035603.3832001858,1073337.0900210768
10,948258.8324480724,984081.997639957,1010384.2869578915,1037823.0468269495,1077733.6854823004
11,946527.8091619929,983565.1433974362,1011491.5054204119,1040335.516148851,1082464.7739776333
12,944414.3162305639,983447.6526444625,1012542.1809891288,1042487.622383574,1087320.2383474214
13,941903.1170655129,983267.9901864221,1013718.1407511644,1045211.212431414,1090468.5611399857
14,940384.6006381578,983707.162330512,1015086.0894241377,1046976.6722357658,1095926.691386302
15,940144.4969938867,983369.8684637503,1015780.495176971,1049516.172631396,1098757.0566830046
16,938149.3020184676,983625.426924086,1016464.5996932363,1051480.7798281934,1104163.1230335576
17,936902.435127905,983406.6291897993,1017698.3052893563,1052954.3742450806,1107716.8801398338
18,936082.9674350302,983596.9621018702,1019054.032485069,1055598.01786081,1112209.91893918
19,934685.4348577951,983768.6458150015,1020692.0825942949,1057565.0967301405,1115432.3901041308
20,933023.8897057018,983636.1930895308,1021673.1751278166,1060056.6157749058,1119695.5867752875
21,930281.7629186085,983441.9860955427,1023053.4612220966,1062209.92213827,1123333.1089836122
22,929782.9171599608,983777.3798654367,1023923.5703114503,1063893.3013952724,1126121.9216257392
23,929054.9851635091,983989.1164378022,1024091.6411204594,1066395.0604476484,1130302.3060854021
24,928893.229888656,984596.6568170614,1026348.7953010106,1068583.9182303383,1134295.0878260182
25,927860.8760661831,985064.688890614,1026983.3442712943,1070898.422472922,1139405.1918877524
26,927105.6489850193,985309.9191361379,1027973.832657745,1073097.2901891922,1141878.129481314
27,925373.4009871926,985013.1612933369,1029024.0599672672,1075351.3999159704,1145873.4241244702
28,923928.2886027469,985889.8454206788,1029962.1203828747,1077692.9198651365,1150154.4277743695
29,925036.8155888221,986709.593557959,1031397.1954069191,1078811.4868559418,1153004.7362554518
30,923417.8926173996,986256.8133766532,1032838.8578752098,1081406.2131706504,1155831.9733075076
31,922475.4788768877,986417.6772765737,1034016.1200496387,1083281.2282330168,1160389.588254944
32,921169.64181004,986794.8498360061,1035258.6459090319,1085662.5720320845,1163552.981514511
33,920054.7987705767,986399.2247193971,1036714.1694714553,1088285.1013254868,1167491.198088621
34,919787.2366747861,986984.6718858198,1037341.6970915749,1088843.6972050716,1170853.4387589442
35,919013.3198358752,986788.6801002099,1038706.2044363944,1090898.6042565906,1174003.5147976168
36,918133.6496430923,987384.3220073042,1039536.1330448246,1093787.669316478,1176793.8024213836
37,918884.5871647425,987893.0682700578,1040556.9348673073,1095103.9616004145,1180037.417726201
38,917811.7896878794,987375.899919439,1041848.8090182315,1097794.4476775965,1182578.06851066
39,918816.6242033553,988756.1540665454,1042918.3704646026,1099384.2480254003,1185805.4353857806
40,916281.3454496105,989178.9810611951,1043906.5351247631,1101731.2661045787,1189589.2163846162
41,916447.9354667951,988845.9393692642,1045057.3641268553,1103312.9350759024,1192893.238491764
42,917474.578521747,988808.0171561537,1045549.4345642948,1105547.8906953302,1193899.9866268518
43,917094.2915535418,989113.1403331605,1047196.6807294292,1108924.9742786258,1198506.9349969989
44,915899.0275609092,990467.6348476061,1048379.9585185675,1110458.5338827372,1202081.1191894508
45,916860.0730044122,990450.3499564959,1049244.2409711462,1111286.5206394808,1204514.912091671
46,916777.187725396,991223.4826926496,1050092.552348397,1113564.4345339758,1206827.3171839372
47,916866.8078140435,991966.6683454632,1050647.5776986345,1115288.7736007897,1209697.9358086921
48,915250.7614230443,992169.8212838488,1052423.0768045266,1117120.460172785,1213745.1015315966
49,914355.3902660036,993319.5085712788,1053191.14085173,1119278.5921896696,1216746.186987837
50,913994.156389397,993437.1435627925,1054383.2967113452,1120707.214013107,1218266.8181150916
51,914355.5504696415,994026.2245815363,1055024.1352302372,1121450.1059446628,1221489.6027212008
52,913586.7579988099,994446.4408737096,1056415.3934880798,1123850.6737716687,1223456.810329764
